"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"neus in de boeken ","  0.00000","210.04568","  0.00000","  0.00000"," 78.84977"," 57.96263","  0.00000","  0.00000"," 73.22728","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","212.69170","  0.00000","193.98884"," 21.73801","  0.00000"
"neus in de boter ","  0.00000"," 38.19012","  0.00000","  0.00000"," 17.52217","  0.00000","  0.00000","  0.00000"," 28.34604","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 17.72431","  0.00000","323.31473"," 43.47602","  0.00000"
"neus in de wind "," 0.00000","57.28518"," 0.00000"," 0.00000","17.52217","57.96263"," 0.00000"," 0.00000","89.76247"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","35.44862"," 0.00000","21.55432","43.47602"," 0.00000"
"neus op de feiten ","  0.00000","152.76049","  0.00000","126.33245","551.94838","115.92526","  0.00000","  0.00000","621.25080","573.95061","  0.00000","  0.00000","  0.00000","  0.00000","336.76185","  0.00000"," 64.66295"," 43.47602","  0.00000"
"olie op het vuur ","   0.00000"," 210.04568","1236.21415","  42.11082"," 797.25878"," 231.85051","   0.00000","   0.00000"," 741.72149","1090.50616","   0.00000","   0.00000","1127.02826","   0.00000"," 194.96739","   0.00000"," 237.09747"," 108.69006","   0.00000"
"om mijn hart slaan"," 0.000000","57.285184"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 4.724341"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"
"onder de knie krijgen","   0.0000"," 801.9926","1236.2142","   0.0000"," 630.7982"," 869.4394","   0.0000","   0.0000","1096.0470"," 286.9753","   0.0000","   0.0000","   0.0000","   0.0000"," 779.8696","3703.2538"," 517.3036"," 304.3322","2793.7097"
"onder de lat staan","   0.000000","   0.000000","   0.000000","   0.000000","   8.761085","   0.000000","   0.000000","   0.000000","1008.646734","   0.000000","   0.000000","   0.000000","   0.000000","   0.000000","   0.000000","   0.000000","   0.000000","  86.952046","   0.000000"
"onder de pet houden","  0.00000"," 19.09506","  0.00000","  0.00000"," 17.52217","289.81314","  0.00000","  0.00000"," 66.14077","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","301.76041"," 21.73801","  0.00000"
"onder de wol ","   0.00000"," 286.42592","   0.00000","1221.21368"," 175.22171"," 173.88788","   0.00000","   0.00000"," 321.25517","   0.00000","   0.00000","   0.00000","   0.00000","1381.45207"," 301.31324","   0.00000","1659.68228","  21.73801","   0.00000"
"onderste uit de kan ","   0.00000","  38.19012","   0.00000","   0.00000","  78.84977","   0.00000","   0.00000","   0.00000"," 330.70385"," 688.74073","   0.00000","1592.22992","   0.00000","   0.00000"," 159.51877","   0.00000","  21.55432","  43.47602","   0.00000"
"oogje in het zeil ","   0.00000"," 706.51727","   0.00000","  42.11082"," 280.35473"," 521.66365","   0.00000","   0.00000","1861.39023"," 631.34567","   0.00000","   0.00000"," 225.40565"," 690.72604","1311.59879","   0.00000"," 193.98884"," 195.64210","   0.00000"
"op alle slakken zout ","   0.00000","   0.00000","   0.00000","   0.00000","  87.61085","   0.00000","   0.00000","   0.00000","  56.69209","   0.00000","   0.00000","1592.22992","   0.00000","   0.00000","   0.00000"," 740.65077","  64.66295","  43.47602","   0.00000"
"op de achtergrond blijven","  0.00000","477.37653","  0.00000"," 42.11082","201.50497"," 57.96263","  0.00000","  0.00000","385.03376","114.79012","  0.00000","  0.00000","676.21695","  0.00000","301.31324","740.65077","129.32589","565.18830","  0.00000"
"op de borst kloppen","  0.00000","553.75678","412.07138"," 42.11082","219.02714","  0.00000","  0.00000","  0.00000","370.86074","229.58024","  0.00000","  0.00000","  0.00000","  0.00000"," 17.72431","  0.00000"," 86.21726"," 43.47602","  0.00000"
"op de korrel ","   0.00000"," 553.75678","   0.00000","  42.11082"," 438.05427","1275.17781","   0.00000","   0.00000","1585.01630"," 344.37037","   0.00000","   0.00000"," 225.40565","   0.00000"," 248.14031","   0.00000"," 215.54315"," 217.38011","   0.00000"
"op de vuist ","   0.00000"," 553.75678","   0.00000"," 294.77572"," 438.05427"," 463.70102","   0.00000","   0.00000","1651.15707","  57.39506","   0.00000","1592.22992"," 225.40565","   0.00000"," 407.65908","   0.00000"," 258.65178"," 173.90409","   0.00000"
"op de ziel trappen","  0.00000","114.57037","  0.00000"," 42.11082","262.83256","  0.00000","  0.00000","  0.00000"," 80.31379","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 70.89723","  0.00000"," 21.55432","  0.00000","  0.00000"
"op rozen zitten","  0.00000"," 38.19012","  0.00000"," 42.11082"," 78.84977","173.88788","  0.00000","  0.00000","890.53822"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000"," 88.62154","  0.00000"," 43.10863","  0.00000","  0.00000"
"op sleeptouw ","3577.43355"," 668.32715"," 412.07138","  42.11082"," 262.83256"," 985.36467","   0.00000","   0.00000","2057.45036"," 229.58024","   0.00000","   0.00000","1803.24521","   0.00000"," 478.55632","   0.00000"," 280.20610"," 173.90409","   0.00000"
"op straat zetten","   0.0000"," 782.8975","   0.0000"," 589.5514","1305.4017"," 753.5142","   0.0000","   0.0000","1686.5896"," 573.9506","   0.0000","   0.0000","   0.0000","   0.0000","1790.1551","   0.0000"," 344.8690"," 152.1661","   0.0000"
"op water en brood ","  0.00000"," 95.47531","  0.00000"," 84.22163","183.98279","173.88788","  0.00000","  0.00000","113.38418","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 35.44862","  0.00000"," 43.10863"," 43.47602","  0.00000"
"op weg helpen"," 3577.4335","  954.7531"," 2472.4283","  168.4433","  884.8696"," 1449.0657","    0.0000","14105.9640","  711.0133"," 1033.1111","    0.0000","    0.0000","    0.0000","    0.0000","  850.7668"," 3703.2538"," 1056.1614","  108.6901","    0.0000"
"op zijn duimpje ","  0.00000","286.42592","  0.00000","  0.00000"," 35.04434"," 57.96263","  0.00000","  0.00000","196.06014"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","194.96739","740.65077","129.32589","  0.00000","  0.00000"
"op zijn vestje spugen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"oren van het hoofd ","3577.43355"," 324.61604","   0.00000","   0.00000"," 332.92125","  57.96263","   0.00000","   0.00000","  96.84898","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000","  53.17292","   0.00000","  86.21726","  21.73801","   0.00000"
"over koetjes en kalfjes ","  0.00000","916.56295","  0.00000","378.99735","157.69954","173.88788","  0.00000","  0.00000","113.38418"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","283.58893","  0.00000"," 21.55432"," 21.73801","  0.00000"
"paard achter de wagen ","  0.00000"," 38.19012","  0.00000","  0.00000"," 96.37194","  0.00000","  0.00000","  0.00000"," 92.12464","344.37037","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","129.32589","  0.00000","  0.00000"
"pap in de benen "," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 8.761085"," 0.000000"," 0.000000"," 0.000000","11.810852"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","43.476023"," 0.000000"
"parels voor de zwijnen ","  0.00000"," 57.28518","  0.00000","168.44327","183.98279","231.85051","  0.00000","  0.00000"," 47.24341","  0.00000","  0.00000","  0.00000","  0.00000","690.72604"," 88.62154","  0.00000"," 64.66295","  0.00000","  0.00000"
"pas op de plaats ","  0.00000","190.95061","  0.00000","  0.00000","140.17737","  0.00000","  0.00000","  0.00000","325.97951","631.34567","  0.00000","  0.00000","  0.00000","  0.00000"," 17.72431","740.65077","172.43452"," 43.47602","  0.00000"
"poot aan de grond ","  0.00000"," 38.19012","  0.00000"," 42.11082"," 26.28326","115.92526","  0.00000","  0.00000","219.68184","  0.00000","  0.00000","  0.00000","225.40565","  0.00000","  0.00000","  0.00000"," 21.55432"," 21.73801","  0.00000"
"regen in de drup ","   0.00000","  76.38025","   0.00000","   0.00000","  61.32760","5506.44962","   0.00000","   0.00000","  70.86511"," 229.58024","   0.00000","   0.00000","   0.00000","   0.00000","   0.00000"," 740.65077"," 193.98884","  43.47602","   0.00000"
